Model,cos→CLIPScore Drop_pearson_r,cos→CLIPScore Drop_pearson_p,cos→CLIPScore Drop_spearman_r,cos→CLIPScore Drop_spearman_p,MSE→CLIPScore Drop_pearson_r,MSE→CLIPScore Drop_pearson_p,MSE→CLIPScore Drop_spearman_r,MSE→CLIPScore Drop_spearman_p,cos→BERTScore(recon/post)_pearson_r,cos→BERTScore(recon/post)_pearson_p,cos→BERTScore(recon/post)_spearman_r,cos→BERTScore(recon/post)_spearman_p,MSE→BERTScore(recon/post)_pearson_r,MSE→BERTScore(recon/post)_pearson_p,MSE→BERTScore(recon/post)_spearman_r,MSE→BERTScore(recon/post)_spearman_p,cos→BERTScore Drop_pearson_r,cos→BERTScore Drop_pearson_p,cos→BERTScore Drop_spearman_r,cos→BERTScore Drop_spearman_p,MSE→BERTScore Drop_pearson_r,MSE→BERTScore Drop_pearson_p,MSE→BERTScore Drop_spearman_r,MSE→BERTScore Drop_spearman_p
LLaVA,-0.0006,0.9795,0.0367,0.1013,0.0128,0.5666,-0.0392,0.0795,0.042,0.0604,0.0141,0.5281,-0.0405,0.0699,-0.0067,0.7663,0.0338,0.1311,0.0619,0.0056,-0.0004,0.9845,-0.0402,0.0721
Idefics2,-0.0691,0.002,-0.0681,0.0023,0.0647,0.0038,0.059,0.0083,0.2492,0.0,0.2779,0.0,-0.272,0.0,-0.2901,0.0,0.0376,0.0925,0.041,0.0666,-0.044,0.0489,-0.0541,0.0155
Qwen-2.5-VL,-0.0565,0.0115,-0.0433,0.0528,-0.0167,0.455,-0.0107,0.6333,0.1239,0.0,0.1176,0.0,0.0062,0.7822,0.0285,0.2031,0.0298,0.1825,0.0156,0.4851,-0.0481,0.0314,-0.0644,0.004
Qwen-3.5,-0.4613,0.0,-0.3559,0.0,-0.0808,0.0003,-0.0258,0.2491,0.3746,0.0,0.437,0.0,0.0491,0.028,0.0431,0.0539,,,,,,,,
