model,n,post_max_rank,pre_effective_rank_mean,pre_effective_rank_std,post_effective_rank_mean,post_effective_rank_std,pre_effective_rank_normalized_mean,pre_effective_rank_normalized_std,post_effective_rank_normalized_mean,post_effective_rank_normalized_std,pre_top10_energy_ratio_mean,pre_top10_energy_ratio_std,post_top10_energy_ratio_mean,post_top10_energy_ratio_std,pre_post_knor10_mean,pre_post_knor10_std,pre_post_knor50_mean,pre_post_knor50_std,pre_post_knor100_mean,pre_post_knor100_std,dino_pre_knor10_mean,dino_pre_knor10_std,dino_post_knor10_mean,dino_post_knor10_std,dino_pre_knor50_mean,dino_pre_knor50_std,dino_post_knor50_mean,dino_post_knor50_std,dino_pre_knor100_mean,dino_pre_knor100_std,dino_post_knor100_mean,dino_post_knor100_std
llava,121861,576,8.9077,2.2734,3.4134,0.2822,0.0155,0.0039,0.0059,0.0005,0.8627,0.0281,0.9687,0.0073,0.4733,0.2559,0.4490,0.1464,0.4667,0.1210,0.2534,0.2698,0.2178,0.2632,0.1654,0.1406,0.1188,0.1183,0.1617,0.1230,0.1115,0.0929
idefics2,121861,64,50.3142,6.6389,26.7590,1.5159,0.0874,0.0115,0.4181,0.0237,0.5856,0.0342,0.6440,0.0206,0.4606,0.2642,0.4383,0.1672,0.4510,0.1441,0.3266,0.2741,0.3012,0.2743,0.2781,0.1800,0.2399,0.1655,0.2891,0.1728,0.2472,0.1523
qwen2.5vl,121861,144,1.0460,0.0164,30.6999,6.5308,0.0018,0.0000,0.2132,0.0454,0.9988,0.0140,0.6609,0.0520,0.2137,0.2624,0.1054,0.1088,0.0933,0.0746,0.1856,0.2593,0.2994,0.2750,0.0725,0.0969,0.2431,0.1717,0.0580,0.0595,0.2511,0.1628
qwen3.5,121861,100,1.0034,0.0010,12.5055,1.7666,0.0025,0.0000,0.1251,0.0177,0.9999,0.0000,0.8120,0.0284,0.1875,0.2625,0.0690,0.0958,0.0538,0.0568,0.1779,0.2576,0.3089,0.2738,0.0602,0.0921,0.2544,0.1740,0.0440,0.0511,0.2613,0.1635
